# Time (Hours), Altitude, Semi Major Axis, Eccentricity, Inclination, Argument Of Periapsis, RAAN, True Anomaly, Acceleration Norm PM Sun, Acceleration Norm PM Moon, Acceleration Norm PM Mars, Acceleration Norm PM Venus, Acceleration Norm SH Earth, Acceleration Norm Aero Earth, Acceleration Norm RP Sun
1.133333333333333304e+00,6.639076716308164805e+02,6.978921361422008886e+03,1.050957186176075878e-02,9.775547944375811937e+01,3.456250607506478190e+01,3.233694837418836414e+02,2.198444513441181414e+02,2.901697037468963863e-07,5.570539344799037798e-07,2.209254254076283941e-13,8.860399221642587840e-12,8.035392658281379497e+00,2.608578566118632552e-08,8.890453521559957923e-08
1.166666666666666741e+00,6.574858426179131357e+02,6.977983226773546448e+03,1.039500871619572497e-02,9.775602716748059606e+01,3.630185467239067520e+01,3.233721055637079189e+02,2.254387436000737068e+02,2.932119416964960447e-07,5.615353392439837286e-07,2.335769309593068980e-13,8.468566130891375321e-12,8.048487699441203347e+00,2.837002060341910329e-08,8.890556844424156669e-08
1.199999999999999956e+00,6.505101013463483923e+02,6.977608840364396201e+03,1.018148803158280304e-02,9.775624464483504994e+01,3.772086035450569597e+01,3.233748476228660138e+02,2.313670724557396170e+02,3.094709927870330802e-07,5.898030320606414587e-07,2.504988214977932909e-13,8.282128069622649966e-12,8.063875767436190500e+00,3.112666079998053393e-08,8.890658855331849344e-08
1.233333333333333393e+00,6.430971093943630876e+02,6.977824951198226699e+03,9.890798765412413263e-03,9.775611199234427318e+01,3.864526780051469501e+01,3.233776175104315485e+02,2.378050723175888947e+02,3.360700625529565853e-07,6.364633850754230098e-07,2.698843229697863421e-13,8.326961370508220128e-12,8.081343173218499487e+00,3.440830454964870278e-08,8.890757790707439326e-08
1.266666666666666607e+00,6.353666347225979507e+02,6.978622924868792325e+03,9.555503845334864521e-03,9.775563394595519640e+01,3.891891159346371865e+01,3.233803189185024394e+02,2.449100520527716469e+02,3.692484757378819271e-07,6.947031268605415387e-07,2.900851886783592001e-13,8.596341391521624199e-12,8.100608272154218525e+00,3.826622954539324874e-08,8.890851925858706984e-08
1.300000000000000044e+00,6.274397837770059141e+02,6.979958510480494624e+03,9.217016067358065057e-03,9.775484014732430182e+01,3.843214282438029983e+01,3.233828595950033105e+02,2.527925428827186636e+02,4.054840602502260916e-07,7.582188568711360128e-07,3.097231243483636869e-13,9.053401464574963797e-12,8.121324571556129968e+00,4.274647299631342110e-08,8.890939602342177068e-08
1.333333333333333259e+00,6.194374034953750652e+02,6.981752980684334943e+03,8.921410845390000469e-03,9.775378291217138838e+01,3.716634358092488100e+01,3.233851589810193445e+02,2.614717618049252223e+02,4.419093207275587245e-07,8.219288217738595312e-07,3.276925822008440292e-13,9.643580326094288639e-12,8.143084549315146248e+00,4.788242583278273431e-08,8.891019255233929430e-08
1.366666666666666696e+00,6.114786845810534714e+02,6.983895981305111491e+03,8.712092014532947168e-03,9.775253286706247025e+01,3.524173228126034019e+01,3.233871544963104157e+02,2.708277881009499879e+02,4.763073359806742875e-07,8.819559792071717284e-07,3.431272768608222194e-13,1.030820224564942956e-11,8.165425251771047499e+00,5.368862089908623520e-08,8.891089439955643329e-08
1.399999999999999911e+00,6.036799975978331076e+02,6.986250546995458535e+03,8.619880157982311164e-03,9.775117321281904026e+01,3.293466546387716676e+01,3.233888057948821597e+02,2.805842480123247924e+02,5.069868257574360646e-07,9.353934336856140632e-07,3.553645245139084534e-13,1.099317225561490178e-11,8.187837343566558346e+00,6.014660175361831345e-08,8.891148858230275678e-08
1.433333333333333348e+00,5.961539757541380595e+02,6.988660623519139335e+03,8.653801191893652905e-03,9.774979348368890442e+01,3.062785909166893461e+01,3.233900968045179525e+02,2.903580854112121870e+02,5.326639076699935764e-07,9.800768735114662450e-07,3.639180778139157990e-13,1.165249144934044321e-11,8.209779127385894881e+00,6.720223286559018480e-08,8.891196382660167261e-08
