fluxdate,fluxobsflux
20050316,103.4
20050316,104.6
20050316,101.9
20050317,101.6
20050317,101.7
20050317,102.0
20050318,97.2
20050318,96.5
20050318,95.9
20050319,90.0
20050319,93.0
20050319,92.6
20050320,86.3
20050320,89.0
20050320,86.5
20050321,89.1
20050321,89.8
20050321,90.7
20050322,87.6
20050322,87.3
20050322,88.6
20050323,88.2
20050323,87.7
20050323,88.4
20050324,87.5
20050324,87.1
20050324,86.7
20050325,82.1
20050325,81.7
20050326,78.1
20050326,77.7
20050326,81.6
20050327,77.3
20050327,78.4
20050327,77.4
20050328,79.5
20050328,79.7
20050328,76.9
20050329,76.1
20050329,78.8
20050329,78.8
20050330,77.5
20050330,77.6
20050330,77.6
20050331,76.5
20050331,76.7
20050331,77.2
20050401,78.3
20050401,78.3
20050401,78.5
20050402,79.6
20050402,80.2
20050402,80.9
20050403,80.1
20050403,81.1
20050403,81.9
20050404,84.3
20050404,84.8
20050404,84.7
20050405,87.6
20050405,88.3
20050405,88.0
20050406,88.2
20050406,88.0
20050406,88.6
20050407,87.5
20050407,87.8
20050407,87.8
20050408,87.4
20050408,87.7
20050408,87.5
20050409,87.8
20050409,88.4
20050409,88.0
20050410,88.7
20050410,88.3
20050410,87.6
20050411,86.2
20050411,87.5
20050411,88.3
20050412,85.2
20050412,84.9
20050412,83.7
20050413,83.4
20050413,83.5
20050413,84.5
20050414,85.3
20050414,85.4
20050414,86.2
20050415,85.4
20050415,84.9
20050415,84.7
20050416,81.2
20050416,82.9
20050416,83.1
20050417,84.1
20050417,83.6
20050417,83.4
20050418,82.4
20050418,81.3
20050418,81.1
20050419,78.5
20050419,78.2
20050419,82.4
20050420,77.2
20050420,77.0
20050420,77.1
20050421,77.3
20050421,77.1
20050421,77.1
20050422,76.9
20050422,77.2
20050422,77.3
20050423,78.5
20050423,79.3
20050423,80.1
20050424,81.7
20050424,82.3
20050424,82.5
20050425,84.1
20050425,86.0
20050425,87.1
20050426,88.4
20050426,90.9
20050426,90.0
20050427,94.5
20050427,95.3
20050427,94.8
20050428,98.6
20050428,98.0
20050428,98.4
20050429,102.0
20050429,105.0
20050429,103.5
20050430,105.6
20050430,106.4
20050430,108.1
20050501,111.9
20050501,111.6
20050501,111.0
20050502,111.5
20050502,112.2
20050502,137.1
20050503,112.8
20050503,112.3
20050503,112.8
20050504,109.9
20050504,108.7
20050504,113.3
20050505,109.7
20050505,109.1
20050505,113.4
20050506,113.8
20050506,110.4
20050506,103.2
20050507,99.9
20050507,99.9
20050507,100.1
20050508,100.6
20050508,101.3
20050508,104.3
20050509,108.5
20050509,110.0
20050509,112.0
20050510,114.8
20050510,119.2
20050510,118.4
20050511,118.7
20050511,125.3
20050511,121.0
20050512,116.4
20050512,117.4
20050512,116.7
20050513,290.9
20050513,125.9
20050513,113.0
20050514,98.7
20050514,99.5
20050514,104.6
20050515,101.8
20050515,103.0
20050515,108.5
20050516,105.4
20050516,99.1
20050516,98.5
20050517,91.5
20050517,90.0
20050517,89.9
20050518,87.1
20050518,83.8
20050518,87.3
20050519,84.7
20050519,84.7
20050519,85.3
20050520,83.0
20050520,83.5
20050520,85.1
20050521,81.8
20050521,81.9
20050521,83.0
20050522,82.2
20050522,82.1
20050522,82.3
20050523,83.4
20050523,83.4
20050523,84.7
20050524,85.4
20050524,85.2
20050524,85.3
20050525,83.7
20050525,83.8
20050525,83.9
20050526,87.8
20050526,90.4
20050526,93.6
20050527,91.8
20050527,95.5
20050527,94.7
20050528,94.1
20050528,92.5
20050528,95.1
20050529,93.2
20050529,92.7
20050529,93.8
20050530,94.9
20050530,94.9
20050530,95.5
20050531,94.1
20050531,96.3
20050531,96.2
20050601,95.8
20050601,94.3
20050601,99.5
20050602,91.9
20050602,93.3
20050602,96.8
20050603,97.1
20050603,95.3
20050603,96.1
20050604,98.1
20050604,96.9
20050604,100.8
20050605,104.5
20050605,105.4
20050605,100.6
20050606,104.8
20050606,106.0
20050606,107.2
20050607,107.0
20050607,109.1
20050607,107.2
20050608,114.1
20050608,115.7
20050608,114.2
20050609,116.9
20050609,116.1
20050609,116.0
20050610,116.2
20050610,114.3
20050610,119.0
20050611,107.8
20050611,108.0
20050611,107.8
20050612,115.4
20050612,103.0
20050612,102.0
20050613,96.5
20050613,91.8
20050613,94.5
20050614,99.8
20050614,93.8
20050614,92.3
20050615,95.2
20050615,94.5
20050615,96.1
20050616,97.1
20050616,98.1
20050616,107.7
20050617,93.4
20050617,90.8
20050617,95.9
20050618,89.6
20050618,90.0
20050618,90.1
20050619,86.9
20050619,86.9
20050619,86.3
20050620,85.8
20050620,86.1
20050620,87.2
20050621,83.8
20050621,82.8
20050621,82.7
20050622,81.1
20050622,79.5
20050622,79.3
20050623,77.7
20050623,77.5
20050623,77.8
20050624,76.6
20050624,76.7
20050624,76.9
20050625,77.1
20050625,76.7
20050625,77.2
20050626,78.2
20050626,78.7
20050626,79.1
20050627,78.1
20050627,77.4
20050627,80.0
20050628,82.1
20050628,80.0
20050628,82.5
20050629,87.3
20050629,88.2
20050629,90.3
20050701,110.3
20050701,114.6
20050701,115.0
20050702,121.9
20050702,123.8
20050702,124.0
20050703,130.0
20050703,129.8
20050703,131.4
20050704,126.1
20050704,123.7
20050704,124.6
20050705,126.8
20050705,126.8
20050705,124.4
20050706,122.8
20050706,123.0
20050706,123.4
20050707,151.2
20050707,124.9
20050707,121.4
20050708,116.1
20050708,110.4
20050708,110.4
20050709,108.3
20050709,106.6
20050709,340.4
20050710,102.8
20050710,101.8
20050710,102.4
20050711,97.4
20050711,93.3
20050711,93.6
20050712,177.0
20050712,96.2
20050712,96.5
20050713,91.5
20050714,88.1
20050714,89.9
20050714,87.7
20050715,103.8
20050715,87.2
20050715,84.9
20050716,77.2
20050716,76.3
20050716,76.1
20050717,74.6
20050717,74.1
20050717,73.7
20050718,72.0
20050718,72.0
20050718,71.8
20050719,71.3
20050719,71.2
20050719,71.7
20050720,71.9
20050720,72.1
20050720,72.3
20050721,72.6
20050721,72.8
20050721,73.5
20050722,74.3
20050722,73.6
20050722,72.8
20050723,79.5
20050723,80.1
20050723,80.5
20050724,80.1
20050724,80.2
20050724,81.6
20050725,83.2
20050725,83.9
20050725,84.8
20050726,86.2
20050726,86.5
20050726,87.9
20050727,89.9
20050727,90.6
20050727,92.5
20050728,94.9
20050728,95.8
20050728,101.9
20050729,104.0
20050729,103.7
20050729,102.1
20050730,104.2
20050730,105.0
20050730,106.8
20050731,109.4
20050731,109.7
20050731,109.0
20050801,113.3
20050801,111.2
20050801,111.6
20050802,110.3
20050802,110.2
20050802,112.3
20050803,109.8
20050803,108.9
20050803,110.0
20050804,106.3
20050804,106.1
20050804,104.9
20050805,100.4
20050805,98.8
20050805,96.2
20050806,93.0
20050806,93.4
20050806,93.9
20050807,92.3
20050807,92.3
20050807,93.0
20050808,86.9
20050808,86.4
20050808,86.5
20050809,82.9
20050809,82.5
20050809,82.2
20050810,77.0
20050810,76.3
20050810,76.2
20050811,76.4
20050811,75.9
20050811,75.6
20050812,75.8
20050812,76.2
20050812,76.0
20050813,75.3
20050813,75.4
20050813,75.8
20050814,75.4
20050814,74.8
20050814,76.0
20050815,75.4
20050815,75.8
20050815,76.1
20050816,75.2
20050816,75.8
20050816,76.0
20050817,76.8
20050817,77.0
20050817,78.1
20050818,81.3
20050818,82.7
20050818,84.3
20050819,93.1
20050819,93.1
20050819,94.0
20050820,97.4
20050820,98.1
20050820,96.6
20050821,99.3
20050821,98.5
20050821,100.4
20050822,378.6
20050822,157.3
20050822,104.9
20050823,468.0
20050823,112.3
20050823,106.9
20050824,101.1
20050824,98.6
20050824,98.3
20050825,93.3
20050825,92.4
20050825,93.1
20050826,94.4
20050826,93.2
20050826,96.4
20050827,92.0
20050827,92.1
20050827,93.2
20050828,90.6
20050828,89.8
20050828,90.1
20050829,88.1
20050829,89.2
20050829,91.3
20050830,87.1
20050830,86.0
20050830,85.5
20050831,86.0
20050831,84.0
20050831,83.4
20050901,79.6
20050901,79.2
20050901,79.9
20050902,77.9
20050902,77.1
20050902,77.1
20050903,74.5
20050903,74.2
20050903,73.7
20050904,78.0
20050904,74.6
20050904,74.3
20050905,74.4
20050905,75.0
20050905,75.8
20050906,81.1
20050906,83.4
20050906,98.5
20050907,92.2
20050907,117.0
20050907,94.2
20050908,91.1
20050908,94.1
20050908,124.9
20050909,99.2
20050909,707.6
20050909,311.3
20050910,122.0
20050910,116.0
20050910,629.8
20050911,113.7
20050911,109.7
20050911,116.6
20050912,116.3
20050912,118.0
20050912,124.0
20050913,113.6
20050913,302.0
20050913,137.1
20050914,114.2
20050914,116.6
20050914,117.8
20050915,116.2
20050915,119.4
20050915,113.2
20050916,111.8
20050916,134.1
20050916,107.0
20050917,104.4
20050917,103.9
20050917,104.4
20050918,104.0
20050918,102.2
20050918,99.2
20050919,93.5
20050919,91.1
20050919,91.6
20050920,89.4
20050920,87.8
20050920,90.0
20050921,87.2
20050921,86.0
20050921,86.9
20050922,84.1
20050922,83.7
20050922,85.1
20050923,81.9
20050923,82.8
20050923,83.2
20050924,80.9
20050924,81.4
20050924,82.0
20050925,80.9
20050925,81.0
20050925,81.4
20050926,80.8
20050926,81.3
20050926,82.3
20050927,77.5
20050927,76.9
20050927,76.9
20050928,75.5
20050928,74.6
20050928,75.1
20050929,74.0
20050929,73.8
20050929,74.3
20050930,72.4
20050930,72.2
20050930,72.9
20051001,72.1
20051001,72.1
20051001,72.1
20051002,74.3
20051002,74.9
20051002,75.1
20051003,70.5
20051003,74.3
20051003,75.0
20051004,80.4
20051004,82.7
20051004,84.6
20051005,80.9
20051005,81.3
20051005,81.9
20051006,80.1
20051006,79.5
20051006,79.6
20051007,78.2
20051007,78.8
20051007,79.3
20051008,78.3
20051008,78.1
20051008,78.9
20051009,78.9
20051009,78.9
20051009,79.4
20051010,79.1
20051010,79.1
20051010,79.7
20051011,77.4
20051011,77.6
20051011,78.3
20051012,76.1
20051012,76.8
20051012,77.5
20051013,77.8
20051013,78.0
20051013,78.9
20051014,77.8
20051014,78.4
20051014,79.2
20051015,77.9
20051015,79.6
20051015,79.9
20051016,78.6
20051016,79.2
20051016,79.6
20051017,79.1
20051017,78.1
20051017,79.2
20051018,78.0
20051018,78.3
20051018,78.8
20051019,77.1
20051019,77.9
20051019,78.9
20051020,76.1
20051020,76.7
20051020,77.0
20051021,75.3
20051021,75.3
20051021,75.8
20051022,74.8
20051022,74.7
20051022,75.4
20051023,74.2
20051023,74.2
20051023,75.1
20051024,73.2
20051024,73.4
20051024,74.3
20051025,72.3
20051025,73.0
20051025,74.0
20051026,72.0
20051026,72.0
20051026,73.3
20051027,71.5
20051027,71.6
20051027,72.7
20051028,72.4
20051028,73.1
20051028,74.3
20051029,73.1
20051029,74.1
20051029,75.3
20051030,74.9
20051030,75.6
20051030,76.8
20051031,78.4
20051031,77.8
20051031,78.2
20051101,76.3
20051101,77.3
20051101,78.0
20051102,76.9
20051102,78.0
20051102,78.1
20051103,76.2
20051103,76.8
20051103,77.1
20051104,77.0
20051104,77.4
20051104,79.0
20051105,78.0
20051105,79.3
20051105,80.9
20051106,80.6
20051106,81.7
20051106,82.4
20051107,80.0
20051107,79.4
20051107,81.3
20051108,78.9
20051108,79.4
20051108,80.9
20051109,78.2
20051109,78.1
20051109,79.2
20051110,77.8
20051110,77.9
20051110,78.3
20051111,77.1
20051111,78.6
20051111,79.5
20051112,84.0
20051112,83.1
20051112,82.9
20051113,88.0
20051113,87.8
20051113,89.7
20051114,93.1
20051114,92.4
20051114,94.4
20051115,95.8
20051115,100.0
20051115,94.6
20051116,93.2
20051116,94.0
20051116,96.0
20051117,97.1
20051117,100.5
20051117,103.2
20051118,100.2
20051118,101.1
20051118,100.7
20051119,100.3
20051119,102.0
20051119,104.1
20051120,96.9
20051120,96.4
20051120,98.1
20051121,94.4
20051121,94.7
20051121,96.1
20051122,91.8
20051122,92.6
20051122,94.8
20051123,89.3
20051123,89.7
20051123,90.6
20051124,88.1
20051124,86.6
20051124,87.6
20051125,81.9
20051125,79.9
20051125,79.7
20051126,80.5
20051126,80.8
20051126,81.7
20051127,80.2
20051127,80.7
20051127,82.4
20051128,81.0
20051128,81.9
20051128,82.6
20051129,89.3
20051129,84.7
20051129,84.8
20051130,91.8
20051130,94.7
20051130,93.7
20051201,96.3
20051201,98.2
20051201,100.7
20051202,104.2
20051202,106.3
20051202,128.1
20051203,100.4
20051203,101.3
20051203,101.8
20051204,94.6
20051204,95.2
20051204,95.3
20051205,91.4
20051205,91.7
20051205,91.3
20051206,88.5
20051206,89.1
20051206,89.4
20051207,85.0
20051207,89.0
20051207,87.4
20051208,87.9
20051208,89.6
20051208,90.4
20051209,88.2
20051209,89.1
20051209,89.8
20051210,88.9
20051210,91.4
20051210,92.4
20051211,90.2
20051211,93.1
20051211,93.0
20051212,87.4
20051212,88.3
20051212,87.4
20051213,87.0
20051213,87.9
20051213,91.9
20051214,87.4
20051214,89.6
20051214,89.2
20051215,85.5
20051215,87.0
20051215,87.4
20051216,84.6
20051216,85.8
20051216,86.9
20051217,83.7
20051217,85.2
20051217,85.4
20051218,84.3
20051218,85.6
20051218,86.9
20051219,87.6
20051219,89.5
20051219,89.8
20051220,87.0
20051220,87.8
20051220,89.0
20051221,85.5
20051221,86.5
20051221,88.0
20051222,90.9
20051222,87.6
20051222,92.7
20051223,92.4
20051223,93.1
20051223,94.1
20051224,91.5
20051224,91.9
20051224,93.8
20051225,90.3
20051225,91.8
20051225,93.8
20051226,91.2
20051226,92.5
20051226,93.1
20051227,87.6
20051227,92.3
20051227,92.8
20051228,88.7
20051228,89.1
20051228,87.0
20051229,88.4
20051229,90.3
20051229,96.7
20051230,88.0
20051230,89.9
20051230,91.6
20051231,84.7
20051231,87.4
20051231,89.2
20060101,86.0
20060101,87.4
20060101,88.3
20060102,83.6
20060102,84.5
20060102,84.9
20060103,82.9
20060103,84.9
20060103,85.5
20060104,83.0
20060104,84.0
20060104,84.7
